UNITID,EFALEVEL,LINE,SECTION,LSTUDY,XEFTOTLT,EFTOTLT,XEFTOTLM,EFTOTLM,XEFTOTLW,EFTOTLW,XEFAIANT,EFAIANT,XEFAIANM,EFAIANM,XEFAIANW,EFAIANW,XEFASIAT,EFASIAT,XEFASIAM,EFASIAM,XEFASIAW,EFASIAW,XEFBKAAT,EFBKAAT,XEFBKAAM,EFBKAAM,XEFBKAAW,EFBKAAW,XEFHISPT,EFHISPT,XEFHISPM,EFHISPM,XEFHISPW,EFHISPW,XEFNHPIT,EFNHPIT,XEFNHPIM,EFNHPIM,XEFNHPIW,EFNHPIW,XEFWHITT,EFWHITT,XEFWHITM,EFWHITM,XEFWHITW,EFWHITW,XEF2MORT,EF2MORT,XEF2MORM,EF2MORM,XEF2MORW,EF2MORW,XEFUNKNT,EFUNKNT,XEFUNKNM,EFUNKNM,XEFUNKNW,EFUNKNW,XEFNRALT,EFNRALT,XEFNRALM,EFNRALM,XEFNRALW,EFNRALW,XEFGNDRU,EFGNDRUN,XEFGNDRA,EFGNDRAN,XEFGNDRU,EFGNDRUA,XEFGNDRK,EFGNDRKN
459994, 4,99,3,1,R,469,R,192,R,277,R,5,R,3,R,2,R,6,R,4,R,2,R,137,R,46,R,91,R,71,R,34,R,37,R,2,Z,0,R,2,R,219,R,91,R,128,R,24,R,10,R,14,R,5,R,4,R,1,Z,0,Z,0,Z,0,A,,A,,A,,A,
459994, 5,99,3,1,R,7889,R,2460,R,5429,R,71,R,19,R,52,R,95,R,45,R,50,R,2456,R,629,R,1827,R,1022,R,397,R,625,R,34,R,5,R,29,R,3708,R,1205,R,2503,R,363,R,98,R,265,R,137,R,61,R,76,R,3,R,1,R,2,A,,A,,A,,A,
459994,11,99,3,1,R,10,R,2,R,8,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,Z,0,R,1,R,1,Z,0,R,1,Z,0,Z,0,Z,0,R,3,Z,0,R,3,Z,0,Z,0,Z,0,R,5,R,2,R,3,Z,0,Z,0,Z,0,A,,A,,A,,A,
459994,12,99,3,3,R,2649,R,1151,R,1498,R,10,R,4,R,6,R,240,R,160,R,80,R,991,R,290,R,701,R,224,R,107,R,117,R,9,R,4,R,5,R,982,R,488,R,494,R,113,R,43,R,70,R,77,R,53,R,24,R,3,R,2,R,1,R,33,A,,R,33,R,2616
459994,19,99,3,1,R,1704,R,528,R,1176,R,12,R,2,R,10,R,21,R,11,R,10,R,558,R,160,R,398,R,195,R,64,R,131,R,12,R,3,R,9,R,793,R,252,R,541,R,85,R,23,R,62,R,28,R,13,R,15,R,0,R,0,Z,0,A,,A,,A,,A,
459994,20,99,3,1,R,6185,R,1932,R,4253,R,59,R,17,R,42,R,74,R,34,R,40,R,1898,R,469,R,1429,R,827,R,333,R,494,R,22,R,2,R,20,R,2915,R,953,R,1962,R,278,R,75,R,203,R,109,R,48,R,61,R,3,R,1,R,2,A,,A,,A,,A,
459994,21,14,1,4,R,901,R,426,R,475,R,6,R,3,R,3,R,42,R,28,R,14,R,330,R,119,R,211,R,84,R,41,R,43,R,4,R,1,R,3,R,369,R,197,R,172,R,40,R,20,R,20,R,23,R,16,R,7,R,3,R,1,R,2,A,,A,,A,,A,
459994,22, 8,1,1,R,483,R,233,R,250,R,4,R,2,R,2,R,8,R,5,R,3,R,177,R,67,R,110,R,45,R,22,R,23,R,3,Z,0,R,3,R,208,R,116,R,92,R,23,R,13,R,10,R,13,R,8,R,5,R,2,R,0,R,2,A,,A,,A,,A,
459994,23, 6,1,1,R,483,R,233,R,250,R,4,R,2,R,2,R,8,R,5,R,3,R,177,R,67,R,110,R,45,R,22,R,23,R,3,Z,0,R,3,R,208,R,116,R,92,R,23,R,13,R,10,R,13,R,8,R,5,R,2,R,0,R,2,A,,A,,A,,A,
459994,24, 1,1,1,R,15,R,4,R,11,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,5,R,3,R,2,R,2,Z,0,R,2,R,1,Z,0,R,1,R,7,R,1,R,6,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,A,,A,,A,,A,
459994,25,99,1,1,R,468,R,229,R,239,R,4,R,2,R,2,R,8,R,5,R,3,R,172,R,64,R,108,R,43,R,22,R,21,R,2,Z,0,R,2,R,201,R,115,R,86,R,23,R,13,R,10,R,13,R,8,R,5,R,2,R,0,R,2,A,,A,,A,,A,
459994,32,11,1,3,R,418,R,193,R,225,R,2,R,1,R,1,R,34,R,23,R,11,R,153,R,52,R,101,R,39,R,19,R,20,R,1,R,1,Z,0,R,161,R,81,R,80,R,17,R,7,R,10,R,10,R,8,R,2,R,1,R,1,Z,0,A,,A,,A,,A,
459994,39, 2,1,1,R,80,R,47,R,33,Z,0,Z,0,Z,0,R,1,R,1,Z,0,R,32,R,14,R,18,R,3,R,2,R,1,Z,0,Z,0,Z,0,R,37,R,24,R,13,R,3,R,3,Z,0,R,4,R,3,R,1,R,0,R,0,Z,0,A,,A,,A,,A,
459994,40, 3,1,1,R,388,R,182,R,206,R,4,R,2,R,2,R,7,R,4,R,3,R,140,R,50,R,90,R,40,R,20,R,20,R,2,Z,0,R,2,R,164,R,91,R,73,R,20,R,10,R,10,R,9,R,5,R,4,R,2,Z,0,R,2,A,,A,,A,,A,
459994,41,28,2,4,R,10116,R,3379,R,6737,R,80,R,23,R,57,R,299,R,181,R,118,R,3255,R,846,R,2409,R,1234,R,497,R,737,R,41,R,8,R,33,R,4543,R,1587,R,2956,R,460,R,131,R,329,R,201,R,104,R,97,R,3,R,2,R,1,A,,A,,A,,A,
459994,42,22,2,1,R,7885,R,2421,R,5464,R,72,R,20,R,52,R,93,R,44,R,49,R,2417,R,608,R,1809,R,1049,R,409,R,640,R,33,R,5,R,28,R,3722,R,1180,R,2542,R,364,R,95,R,269,R,134,R,59,R,75,R,1,R,1,Z,0,A,,A,,A,,A,
459994,43,20,2,1,R,7875,R,2419,R,5456,R,72,R,20,R,52,R,93,R,44,R,49,R,2416,R,608,R,1808,R,1048,R,409,R,639,R,33,R,5,R,28,R,3719,R,1180,R,2539,R,364,R,95,R,269,R,129,R,57,R,72,R,1,R,1,Z,0,A,,A,,A,,A,
459994,44,15,2,1,R,454,R,188,R,266,R,5,R,3,R,2,R,6,R,4,R,2,R,132,R,43,R,89,R,69,R,34,R,35,R,1,Z,0,R,1,R,212,R,90,R,122,R,24,R,10,R,14,R,5,R,4,R,1,Z,0,Z,0,Z,0,A,,A,,A,,A,
459994,45,99,2,1,R,7421,R,2231,R,5190,R,67,R,17,R,50,R,87,R,40,R,47,R,2284,R,565,R,1719,R,979,R,375,R,604,R,32,R,5,R,27,R,3507,R,1090,R,2417,R,340,R,85,R,255,R,124,R,53,R,71,R,1,R,1,Z,0,A,,A,,A,,A,
459994,51,21,2,1,R,10,R,2,R,8,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,Z,0,R,1,R,1,Z,0,R,1,Z,0,Z,0,Z,0,R,3,Z,0,R,3,Z,0,Z,0,Z,0,R,5,R,2,R,3,Z,0,Z,0,Z,0,A,,A,,A,,A,
