UNITID,EFALEVEL,LINE,SECTION,LSTUDY,XEFTOTLT,EFTOTLT,XEFTOTLM,EFTOTLM,XEFTOTLW,EFTOTLW,XEFAIANT,EFAIANT,XEFAIANM,EFAIANM,XEFAIANW,EFAIANW,XEFASIAT,EFASIAT,XEFASIAM,EFASIAM,XEFASIAW,EFASIAW,XEFBKAAT,EFBKAAT,XEFBKAAM,EFBKAAM,XEFBKAAW,EFBKAAW,XEFHISPT,EFHISPT,XEFHISPM,EFHISPM,XEFHISPW,EFHISPW,XEFNHPIT,EFNHPIT,XEFNHPIM,EFNHPIM,XEFNHPIW,EFNHPIW,XEFWHITT,EFWHITT,XEFWHITM,EFWHITM,XEFWHITW,EFWHITW,XEF2MORT,EF2MORT,XEF2MORM,EF2MORM,XEF2MORW,EF2MORW,XEFUNKNT,EFUNKNT,XEFUNKNM,EFUNKNM,XEFUNKNW,EFUNKNW,XEFNRALT,EFNRALT,XEFNRALM,EFNRALM,XEFNRALW,EFNRALW 
448567, 3,99,3,1,R,11,R,7,R,4,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,5,R,4,R,1,R,2,R,1,R,1,Z,0,Z,0,Z,0,R,2,Z,0,R,2,Z,0,Z,0,Z,0,R,2,R,2,Z,0,Z,0,Z,0,Z,0
448567, 5,99,3,1,R,11,R,7,R,4,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,5,R,4,R,1,R,2,R,1,R,1,Z,0,Z,0,Z,0,R,2,Z,0,R,2,Z,0,Z,0,Z,0,R,2,R,2,Z,0,Z,0,Z,0,Z,0
448567,20,99,3,1,R,11,R,7,R,4,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,5,R,4,R,1,R,2,R,1,R,1,Z,0,Z,0,Z,0,R,2,Z,0,R,2,Z,0,Z,0,Z,0,R,2,R,2,Z,0,Z,0,Z,0,Z,0
448567,21,14,1,4,R,11,R,7,R,4,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,5,R,4,R,1,R,2,R,1,R,1,Z,0,Z,0,Z,0,R,2,Z,0,R,2,Z,0,Z,0,Z,0,R,2,R,2,Z,0,Z,0,Z,0,Z,0
448567,22, 8,1,1,R,11,R,7,R,4,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,5,R,4,R,1,R,2,R,1,R,1,Z,0,Z,0,Z,0,R,2,Z,0,R,2,Z,0,Z,0,Z,0,R,2,R,2,Z,0,Z,0,Z,0,Z,0
448567,23, 6,1,1,R,11,R,7,R,4,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,5,R,4,R,1,R,2,R,1,R,1,Z,0,Z,0,Z,0,R,2,Z,0,R,2,Z,0,Z,0,Z,0,R,2,R,2,Z,0,Z,0,Z,0,Z,0
448567,25,99,1,1,R,11,R,7,R,4,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,5,R,4,R,1,R,2,R,1,R,1,Z,0,Z,0,Z,0,R,2,Z,0,R,2,Z,0,Z,0,Z,0,R,2,R,2,Z,0,Z,0,Z,0,Z,0
448567,40, 3,1,1,R,11,R,7,R,4,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,5,R,4,R,1,R,2,R,1,R,1,Z,0,Z,0,Z,0,R,2,Z,0,R,2,Z,0,Z,0,Z,0,R,2,R,2,Z,0,Z,0,Z,0,Z,0
448594, 1,29,3,4,R,4239,R,1578,R,2661,R,35,R,6,R,29,R,231,R,99,R,132,R,200,R,79,R,121,R,2697,R,1015,R,1682,R,10,R,2,R,8,R,880,R,298,R,582,R,134,R,61,R,73,R,49,R,17,R,32,R,3,R,1,R,2
448594, 2,99,3,1,R,4239,R,1578,R,2661,R,35,R,6,R,29,R,231,R,99,R,132,R,200,R,79,R,121,R,2697,R,1015,R,1682,R,10,R,2,R,8,R,880,R,298,R,582,R,134,R,61,R,73,R,49,R,17,R,32,R,3,R,1,R,2
