UNITID,EFDELEV,XEFDETOT,EFDETOT,XEFDEEXC,EFDEEXC,XEFDESOM,EFDESOM,XEFDENON,EFDENON,XEFDEEX1,EFDEEX1,XEFDEEX2,EFDEEX2,XEFDEEX3,EFDEEX3,XEFDEEX4,EFDEEX4,XEFDEEX5,EFDEEX5 
174604, 3,"R",119,"R",8,"R",55,"R",56,"R",6,"R",1,"R",0,"R",0,"R",1
174604,11,"R",60,"R",5,"R",16,"R",39,"R",4,"R",0,"R",0,"R",0,"R",1
174738, 1,"R",4658,"R",1407,"R",1419,"R",1832,"R",1265,"R",142,"R",0,"R",0,"R",0
174738, 2,"R",4658,"R",1407,"R",1419,"R",1832,"R",1265,"R",142,"R",0,"R",0,"R",0
174738, 3,"R",3384,"R",1013,"R",1071,"R",1300,"R",889,"R",124,"R",0,"R",0,"R",0
174738,11,"R",1274,"R",394,"R",348,"R",532,"R",376,"R",18,"R",0,"R",0,"R",0
174747, 1,"R",1557,"R",15,"R",2,"R",1540,"R",15,"R",0,"R",0,"R",0,"R",0
174747, 2,"R",1542,"R",0,"R",2,"R",1540,"A",,"A",,"A",,"A",,"A",
174747, 3,"R",1535,"R",0,"R",2,"R",1533,"A",,"A",,"A",,"A",,"A",
174747,11,"R",7,"R",0,"R",0,"R",7,"A",,"A",,"A",,"A",,"A",
174747,12,"R",15,"R",15,"R",0,"R",0,"R",15,"R",0,"R",0,"R",0,"R",0
174756, 1,"R",3638,"R",1364,"R",1015,"R",1259,"R",1327,"R",31,"R",0,"R",0,"R",6
174756, 2,"R",3638,"R",1364,"R",1015,"R",1259,"R",1327,"R",31,"R",0,"R",0,"R",6
174756, 3,"R",3083,"R",1099,"R",903,"R",1081,"R",1069,"R",26,"R",0,"R",0,"R",4
174756,11,"R",555,"R",265,"R",112,"R",178,"R",258,"R",5,"R",0,"R",0,"R",2
174783, 1,"R",10774,"R",1506,"R",3952,"R",5316,"R",1345,"R",135,"R",2,"R",4,"R",20
174783, 2,"R",8956,"R",946,"R",3546,"R",4464,"R",876,"R",56,"R",2,"R",0,"R",12
174783, 3,"R",6054,"R",801,"R",3348,"R",1905,"R",736,"R",51,"R",2,"R",0,"R",12
174783,11,"R",2902,"R",145,"R",198,"R",2559,"R",140,"R",5,"R",0,"R",0,"R",0
174783,12,"R",1818,"R",560,"R",406,"R",852,"R",469,"R",79,"R",0,"R",4,"R",8
174792, 1,"R",1643,"R",41,"R",21,"R",1581,"R",17,"R",21,"R",3,"R",0,"R",0
174792, 2,"R",1538,"R",0,"R",1,"R",1537,"A",,"A",,"A",,"A",,"A",
174792, 3,"R",1533,"R",0,"R",1,"R",1532,"A",,"A",,"A",,"A",,"A",
174792,11,"R",5,"R",0,"R",0,"R",5,"A",,"A",,"A",,"A",,"A",
174792,12,"R",105,"R",41,"R",20,"R",44,"R",17,"R",21,"R",3,"R",0,"R",0
174817, 1,"R",4701,"R",1839,"R",1691,"R",1171,"R",1255,"R",577,"R",0,"R",7,"R",0
174817, 2,"R",1246,"R",113,"R",505,"R",628,"R",99,"R",14,"R",0,"R",0,"R",0
174817, 3,"R",1216,"R",112,"R",495,"R",609,"R",98,"R",14,"R",0,"R",0,"R",0
174817,11,"R",30,"R",1,"R",10,"R",19,"R",1,"R",0,"R",0,"R",0,"R",0
174817,12,"R",3455,"R",1726,"R",1186,"R",543,"R",1156,"R",563,"R",0,"R",7,"R",0
174844, 1,"R",2988,"R",0,"Z",0,"R",2988,"A",,"A",,"A",,"A",,"A",
174844, 2,"R",2988,"R",0,"Z",0,"R",2988,"A",,"A",,"A",,"A",,"A",
174844, 3,"R",2955,"R",0,"Z",0,"R",2955,"A",,"A",,"A",,"A",,"A",
174844,11,"R",33,"R",0,"Z",0,"R",33,"A",,"A",,"A",,"A",,"A",
174862, 1,"R",1476,"R",935,"R",107,"R",434,"R",507,"R",420,"Z",0,"R",8,"R",0
174862, 2,"R",1139,"R",598,"R",107,"R",434,"R",384,"R",211,"Z",0,"R",3,"R",0
174862, 3,"R",751,"R",286,"R",61,"R",404,"R",75,"R",208,"Z",0,"R",3,"R",0
174862,11,"R",388,"R",312,"R",46,"R",30,"R",309,"R",3,"Z",0,"Z",0,"R",0
174862,12,"R",337,"R",337,"Z",0,"R",0,"R",123,"R",209,"Z",0,"R",5,"R",0
174899, 1,"R",3512,"R",1006,"R",368,"R",2138,"R",585,"R",395,"R",5,"R",21,"R",0
174899, 2,"R",2144,"R",364,"R",293,"R",1487,"R",296,"R",66,"R",2,"Z",0,"R",0
174899, 3,"R",2134,"R",360,"R",293,"R",1481,"R",293,"R",65,"R",2,"Z",0,"R",0
174899,11,"R",10,"R",4,"R",0,"R",6,"R",3,"R",1,"Z",0,"Z",0,"R",0
174899,12,"R",1368,"R",642,"R",75,"R",651,"R",289,"R",329,"R",3,"R",21,"R",0
174914, 1,"R",9336,"R",1135,"R",3011,"R",5190,"R",938,"R",152,"R",0,"R",45,"R",0
